"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/19/2020 7 p.m. EDT",101,100,0,-101
HST,"7/19/2020 8 p.m. EDT",98,99,0,-98
HST,"7/19/2020 9 p.m. EDT",97,95,0,-97
HST,"7/19/2020 10 p.m. EDT",96,90,0,-96
HST,"7/19/2020 11 p.m. EDT",90,84,0,-90
HST,"7/20/2020 12 a.m. EDT",81,75,0,-81
HST,"7/20/2020 1 a.m. EDT",73,78,0,-73
HST,"7/20/2020 2 a.m. EDT",67,70,0,-67
HST,"7/20/2020 3 a.m. EDT",63,65,0,-63
HST,"7/20/2020 4 a.m. EDT",60,61,0,-60
HST,"7/20/2020 5 a.m. EDT",60,60,0,-60
HST,"7/20/2020 6 a.m. EDT",62,60,0,-62
HST,"7/20/2020 7 a.m. EDT",62,57,0,-62
HST,"7/20/2020 8 a.m. EDT",63,60,0,-63
HST,"7/20/2020 9 a.m. EDT",69,68,0,-69
HST,"7/20/2020 10 a.m. EDT",77,78,0,-77
HST,"7/20/2020 11 a.m. EDT",84,87,0,-84
HST,"7/20/2020 12 p.m. EDT",90,90,0,-90
HST,"7/20/2020 1 p.m. EDT",94,97,0,-94
HST,"7/20/2020 2 p.m. EDT",97,102,0,-97
HST,"7/20/2020 3 p.m. EDT",101,104,0,-101
HST,"7/20/2020 4 p.m. EDT",104,106,0,-104
HST,"7/20/2020 5 p.m. EDT",105,108,0,-105
HST,"7/20/2020 6 p.m. EDT",94,108,0,-94
HST,"7/20/2020 7 p.m. EDT",92,108,0,-92
HST,"7/20/2020 8 p.m. EDT",91,106,0,-91
HST,"7/20/2020 9 p.m. EDT",91,103,0,-91
HST,"7/20/2020 10 p.m. EDT",89,98,0,-89
HST,"7/20/2020 11 p.m. EDT",82,92,0,-82
HST,"7/21/2020 12 a.m. EDT",71,86,0,-71
HST,"7/21/2020 1 a.m. EDT",64,67,0,-64
HST,"7/21/2020 2 a.m. EDT",59,66,0,-59
HST,"7/21/2020 3 a.m. EDT",55,62,0,-55
HST,"7/21/2020 4 a.m. EDT",52,61,0,-52
HST,"7/21/2020 5 a.m. EDT",54,60,0,-54
HST,"7/21/2020 6 a.m. EDT",56,61,0,-56
HST,"7/21/2020 7 a.m. EDT",58,63,0,-58
HST,"7/21/2020 8 a.m. EDT",57,65,0,-57
HST,"7/21/2020 9 a.m. EDT",62,69,0,-62
HST,"7/21/2020 10 a.m. EDT",66,75,0,-66
HST,"7/21/2020 11 a.m. EDT",76,80,0,-76
HST,"7/21/2020 12 p.m. EDT",80,84,0,-80
HST,"7/21/2020 1 p.m. EDT",75,89,0,-75
HST,"7/21/2020 2 p.m. EDT",73,92,0,-73
HST,"7/21/2020 3 p.m. EDT",70,94,0,-70
HST,"7/21/2020 4 p.m. EDT",73,97,0,-73
HST,"7/21/2020 5 p.m. EDT",74,100,0,-74
HST,"7/21/2020 6 p.m. EDT",79,100,0,-79
HST,"7/21/2020 7 p.m. EDT",80,100,0,-80
HST,"7/21/2020 8 p.m. EDT",77,99,0,-77
HST,"7/21/2020 9 p.m. EDT",78,99,0,-78
HST,"7/21/2020 10 p.m. EDT",76,98,0,-76
HST,"7/21/2020 11 p.m. EDT",71,94,0,-71
HST,"7/22/2020 12 a.m. EDT",66,84,0,-66
HST,"7/22/2020 1 a.m. EDT",59,63,0,-59
HST,"7/22/2020 2 a.m. EDT",55,57,0,-55
HST,"7/22/2020 3 a.m. EDT",52,54,0,-52
HST,"7/22/2020 4 a.m. EDT",51,52,0,-51
HST,"7/22/2020 5 a.m. EDT",50,53,0,-50
HST,"7/22/2020 6 a.m. EDT",52,55,0,-52
HST,"7/22/2020 7 a.m. EDT",54,59,0,-54
HST,"7/22/2020 8 a.m. EDT",53,66,0,-53
HST,"7/22/2020 9 a.m. EDT",54,75,0,-54
HST,"7/22/2020 10 a.m. EDT",56,83,0,-56
HST,"7/22/2020 11 a.m. EDT",59,88,0,-59
HST,"7/22/2020 12 p.m. EDT",63,92,0,-63
HST,"7/22/2020 1 p.m. EDT",69,96,0,-69
HST,"7/22/2020 2 p.m. EDT",77,98,0,-77
HST,"7/22/2020 3 p.m. EDT",80,101,0,-80
HST,"7/22/2020 4 p.m. EDT",82,102,0,-82
HST,"7/22/2020 5 p.m. EDT",86,104,0,-86
HST,"7/22/2020 6 p.m. EDT",86,103,0,-86
HST,"7/22/2020 7 p.m. EDT",83,102,0,-83
HST,"7/22/2020 8 p.m. EDT",81,100,0,-81
HST,"7/22/2020 9 p.m. EDT",81,97,0,-81
HST,"7/22/2020 10 p.m. EDT",78,92,0,-78
HST,"7/22/2020 11 p.m. EDT",72,86,0,-72
HST,"7/23/2020 12 a.m. EDT",67,75,0,-67
HST,"7/23/2020 1 a.m. EDT",61,67,0,-61
HST,"7/23/2020 2 a.m. EDT",56,60,0,-56
HST,"7/23/2020 3 a.m. EDT",54,56,0,-54
HST,"7/23/2020 4 a.m. EDT",53,54,0,-53
HST,"7/23/2020 5 a.m. EDT",54,54,0,-54
HST,"7/23/2020 6 a.m. EDT",57,58,0,-57
HST,"7/23/2020 7 a.m. EDT",59,62,0,-59
HST,"7/23/2020 8 a.m. EDT",59,63,0,-59
HST,"7/23/2020 9 a.m. EDT",61,71,0,-61
HST,"7/23/2020 10 a.m. EDT",67,75,0,-67
HST,"7/23/2020 11 a.m. EDT",72,78,0,-72
HST,"7/23/2020 12 p.m. EDT",79,84,0,-79
HST,"7/23/2020 1 p.m. EDT",82,95,0,-82
HST,"7/23/2020 2 p.m. EDT",83,99,0,-83
HST,"7/23/2020 3 p.m. EDT",80,102,0,-80
HST,"7/23/2020 4 p.m. EDT",75,103,0,-75
HST,"7/23/2020 5 p.m. EDT",74,102,0,-74
HST,"7/23/2020 6 p.m. EDT",74,101,0,-74
HST,"7/23/2020 7 p.m. EDT",74,98,0,-74
HST,"7/23/2020 8 p.m. EDT",74,96,0,-74
HST,"7/23/2020 9 p.m. EDT",75,97,0,-75
HST,"7/23/2020 10 p.m. EDT",74,91,0,-74
HST,"7/23/2020 11 p.m. EDT",70,88,0,-70
HST,"7/24/2020 12 a.m. EDT",64,81,0,-64
HST,"7/24/2020 1 a.m. EDT",58,64,0,-58
HST,"7/24/2020 2 a.m. EDT",54,59,0,-54
HST,"7/24/2020 3 a.m. EDT",51,56,0,-51
HST,"7/24/2020 4 a.m. EDT",50,56,0,-50
HST,"7/24/2020 5 a.m. EDT",50,57,0,-50
HST,"7/24/2020 6 a.m. EDT",51,60,0,-51
HST,"7/24/2020 7 a.m. EDT",52,62,0,-52
HST,"7/24/2020 8 a.m. EDT",53,61,0,-53
HST,"7/24/2020 9 a.m. EDT",58,65,0,-58
HST,"7/24/2020 10 a.m. EDT",67,70,0,-67
HST,"7/24/2020 11 a.m. EDT",74,74,0,-74
HST,"7/24/2020 12 p.m. EDT",82,82,0,-82
HST,"7/24/2020 1 p.m. EDT",89,84,0,-89
HST,"7/24/2020 2 p.m. EDT",92,86,0,-92
HST,"7/24/2020 3 p.m. EDT",95,83,0,-95
HST,"7/24/2020 4 p.m. EDT",98,78,0,-98
HST,"7/24/2020 5 p.m. EDT",99,77,0,-99
HST,"7/24/2020 6 p.m. EDT",100,77,0,-100
HST,"7/24/2020 7 p.m. EDT",99,77,0,-99
HST,"7/24/2020 8 p.m. EDT",96,78,0,-96
HST,"7/24/2020 9 p.m. EDT",95,78,0,-95
HST,"7/24/2020 10 p.m. EDT",91,77,0,-91
HST,"7/24/2020 11 p.m. EDT",84,73,0,-84
HST,"7/25/2020 12 a.m. EDT",77,68,0,-77
HST,"7/25/2020 1 a.m. EDT",66,76,0,-66
HST,"7/25/2020 2 a.m. EDT",60,62,0,-60
HST,"7/25/2020 3 a.m. EDT",56,62,0,-56
HST,"7/25/2020 4 a.m. EDT",54,59,0,-54
HST,"7/25/2020 5 a.m. EDT",52,59,0,-52
HST,"7/25/2020 6 a.m. EDT",52,61,0,-52
HST,"7/25/2020 7 a.m. EDT",52,62,0,-52
HST,"7/25/2020 8 a.m. EDT",54,63,0,-54
HST,"7/25/2020 9 a.m. EDT",61,68,0,-61
HST,"7/25/2020 10 a.m. EDT",70,74,0,-70
HST,"7/25/2020 11 a.m. EDT",78,88,0,-78
HST,"7/25/2020 12 p.m. EDT",78,92,0,-78
HST,"7/25/2020 1 p.m. EDT",86,94,0,-86
HST,"7/25/2020 2 p.m. EDT",91,99,0,-91
HST,"7/25/2020 3 p.m. EDT",96,99,0,-96
HST,"7/25/2020 4 p.m. EDT",97,102,0,-97
HST,"7/25/2020 5 p.m. EDT",97,103,0,-97
HST,"7/25/2020 6 p.m. EDT",97,104,0,-97
HST,"7/25/2020 7 p.m. EDT",96,101,0,-96
HST,"7/25/2020 8 p.m. EDT",91,99,0,-91
HST,"7/25/2020 9 p.m. EDT",91,98,0,-91
HST,"7/25/2020 10 p.m. EDT",89,93,0,-89
HST,"7/25/2020 11 p.m. EDT",85,88,0,-85
HST,"7/26/2020 12 a.m. EDT",79,83,0,-79
HST,"7/26/2020 1 a.m. EDT",72,70,0,-72
HST,"7/26/2020 2 a.m. EDT",64,68,0,-64
HST,"7/26/2020 3 a.m. EDT",59,63,0,-59
HST,"7/26/2020 4 a.m. EDT",55,62,0,-55
HST,"7/26/2020 5 a.m. EDT",54,60,0,-54
HST,"7/26/2020 6 a.m. EDT",53,57,0,-53
HST,"7/26/2020 7 a.m. EDT",52,57,0,-52
HST,"7/26/2020 8 a.m. EDT",53,59,0,-53
HST,"7/26/2020 9 a.m. EDT",57,67,0,-57
HST,"7/26/2020 10 a.m. EDT",70,75,0,-70
HST,"7/26/2020 11 a.m. EDT",78,83,0,-78
HST,"7/26/2020 12 p.m. EDT",86,89,0,-86
HST,"7/26/2020 1 p.m. EDT",92,93,0,-92
HST,"7/26/2020 2 p.m. EDT",98,97,0,-98
HST,"7/26/2020 3 p.m. EDT",102,98,0,-102
HST,"7/26/2020 4 p.m. EDT",105,100,0,-105
HST,"7/26/2020 5 p.m. EDT",106,100,0,-106
HST,"7/26/2020 6 p.m. EDT",105,100,0,-105
HST,"7/26/2020 7 p.m. EDT",101,100,0,-101
HST,"7/26/2020 8 p.m. EDT",97,94,0,-97
HST,"7/26/2020 9 p.m. EDT",97,94,0,-97
HST,"7/26/2020 10 p.m. EDT",95,92,0,-95
HST,"7/26/2020 11 p.m. EDT",88,87,0,-88
HST,"7/27/2020 12 a.m. EDT",80,80,0,-80
HST,"7/27/2020 1 a.m. EDT",73,76,0,-73
HST,"7/27/2020 2 a.m. EDT",67,66,0,-67
HST,"7/27/2020 3 a.m. EDT",63,62,0,-63
HST,"7/27/2020 4 a.m. EDT",60,58,0,-60
HST,"7/27/2020 5 a.m. EDT",58,57,0,-58
HST,"7/27/2020 6 a.m. EDT",59,56,0,-59
HST,"7/27/2020 7 a.m. EDT",60,55,0,-60
HST,"7/27/2020 8 a.m. EDT",59,56,0,-59
HST,"7/27/2020 9 a.m. EDT",62,60,0,-62
HST,"7/27/2020 10 a.m. EDT",72,73,0,-72
HST,"7/27/2020 11 a.m. EDT",80,80,0,-80
HST,"7/27/2020 12 p.m. EDT",90,90,0,-90
HST,"7/27/2020 1 p.m. EDT",96,95,0,-96
HST,"7/27/2020 2 p.m. EDT",101,102,0,-101
HST,"7/27/2020 3 p.m. EDT",102,105,0,-102
HST,"7/27/2020 4 p.m. EDT",107,106,0,-107
HST,"7/27/2020 5 p.m. EDT",108,108,0,-108
HST,"7/27/2020 6 p.m. EDT",109,108,0,-109
HST,"7/27/2020 7 p.m. EDT",109,103,0,-109
HST,"7/27/2020 8 p.m. EDT",106,101,0,-106
HST,"7/27/2020 9 p.m. EDT",104,100,0,-104
HST,"7/27/2020 10 p.m. EDT",100,96,0,-100
HST,"7/27/2020 11 p.m. EDT",92,92,0,-92
HST,"7/28/2020 12 a.m. EDT",84,86,0,-84
HST,"7/28/2020 1 a.m. EDT",77,78,0,-77
HST,"7/28/2020 2 a.m. EDT",71,70,0,-71
HST,"7/28/2020 3 a.m. EDT",68,66,0,-68
HST,"7/28/2020 4 a.m. EDT",67,68,0,-67
HST,"7/28/2020 5 a.m. EDT",65,66,0,-65
HST,"7/28/2020 6 a.m. EDT",67,66,0,-67
HST,"7/28/2020 7 a.m. EDT",66,65,0,-66
HST,"7/28/2020 8 a.m. EDT",66,66,0,-66
HST,"7/28/2020 9 a.m. EDT",70,69,0,-70
HST,"7/28/2020 10 a.m. EDT",77,75,0,-77
HST,"7/28/2020 11 a.m. EDT",85,86,0,-85
HST,"7/28/2020 12 p.m. EDT",92,93,0,-92
HST,"7/28/2020 1 p.m. EDT",98,101,0,-98
HST,"7/28/2020 2 p.m. EDT",102,105,0,-102
HST,"7/28/2020 3 p.m. EDT",105,107,0,-105
HST,"7/28/2020 4 p.m. EDT",107,110,0,-107
HST,"7/28/2020 5 p.m. EDT",107,111,0,-107
HST,"7/28/2020 6 p.m. EDT",104,111,0,-104
HST,"7/28/2020 7 p.m. EDT",103,107,0,-103
HST,"7/28/2020 8 p.m. EDT",99,104,0,-99
HST,"7/28/2020 9 p.m. EDT",99,102,0,-99
HST,"7/28/2020 10 p.m. EDT",96,98,0,-96
HST,"7/28/2020 11 p.m. EDT",89,91,0,-89
HST,"7/29/2020 12 a.m. EDT",82,84,0,-82
HST,"7/29/2020 1 a.m. EDT",74,79,0,-74
HST,"7/29/2020 2 a.m. EDT",69,76,0,-69
HST,"7/29/2020 3 a.m. EDT",65,71,0,-65
HST,"7/29/2020 4 a.m. EDT",62,69,0,-62
HST,"7/29/2020 5 a.m. EDT",62,65,0,-62
HST,"7/29/2020 6 a.m. EDT",62,64,0,-62
HST,"7/29/2020 7 a.m. EDT",62,66,0,-62
HST,"7/29/2020 8 a.m. EDT",62,66,0,-62
HST,"7/29/2020 9 a.m. EDT",67,66,0,-67
HST,"7/29/2020 10 a.m. EDT",76,75,0,-76
HST,"7/29/2020 11 a.m. EDT",83,84,0,-83
HST,"7/29/2020 12 p.m. EDT",90,93,0,-90
HST,"7/29/2020 1 p.m. EDT",96,99,0,-96
HST,"7/29/2020 2 p.m. EDT",101,105,0,-101
HST,"7/29/2020 3 p.m. EDT",105,107,0,-105
HST,"7/29/2020 4 p.m. EDT",107,110,0,-107
HST,"7/29/2020 5 p.m. EDT",108,109,0,-108
HST,"7/29/2020 6 p.m. EDT",110,107,0,-110
HST,"7/29/2020 7 p.m. EDT",109,105,0,-109
HST,"7/29/2020 8 p.m. EDT",104,101,0,-104
HST,"7/29/2020 9 p.m. EDT",102,102,0,-102
HST,"7/29/2020 10 p.m. EDT",97,98,0,-97
HST,"7/29/2020 11 p.m. EDT",90,89,0,-90
HST,"7/30/2020 12 a.m. EDT",82,85,0,-82
HST,"7/30/2020 1 a.m. EDT",75,77,0,-75
HST,"7/30/2020 2 a.m. EDT",69,71,0,-69
HST,"7/30/2020 3 a.m. EDT",66,68,0,-66
HST,"7/30/2020 4 a.m. EDT",64,65,0,-64
HST,"7/30/2020 5 a.m. EDT",62,64,0,-62
HST,"7/30/2020 6 a.m. EDT",63,65,0,-63
HST,"7/30/2020 7 a.m. EDT",63,64,0,-63
HST,"7/30/2020 8 a.m. EDT",62,65,0,-62
HST,"7/30/2020 9 a.m. EDT",69,69,0,-69
HST,"7/30/2020 10 a.m. EDT",76,79,0,-76
HST,"7/30/2020 11 a.m. EDT",84,84,0,-84
HST,"7/30/2020 12 p.m. EDT",92,93,0,-92
HST,"7/30/2020 1 p.m. EDT",98,99,0,-98
HST,"7/30/2020 2 p.m. EDT",102,103,0,-102
HST,"7/30/2020 3 p.m. EDT",105,108,0,-105
HST,"7/30/2020 4 p.m. EDT",108,109,0,-108
HST,"7/30/2020 5 p.m. EDT",110,111,0,-110
HST,"7/30/2020 6 p.m. EDT",111,113,0,-111
HST,"7/30/2020 7 p.m. EDT",111,110,0,-111
HST,"7/30/2020 8 p.m. EDT",107,107,0,-107
HST,"7/30/2020 9 p.m. EDT",105,103,0,-105
HST,"7/30/2020 10 p.m. EDT",101,99,0,-101
HST,"7/30/2020 11 p.m. EDT",94,92,0,-94
HST,"7/31/2020 12 a.m. EDT",88,85,0,-88
HST,"7/31/2020 1 a.m. EDT",81,83,0,-81
HST,"7/31/2020 2 a.m. EDT",76,78,0,-76
HST,"7/31/2020 3 a.m. EDT",73,73,0,-73
HST,"7/31/2020 4 a.m. EDT",71,71,0,-71
HST,"7/31/2020 5 a.m. EDT",70,71,0,-70
HST,"7/31/2020 6 a.m. EDT",71,71,0,-71
HST,"7/31/2020 7 a.m. EDT",70,71,0,-70
HST,"7/31/2020 8 a.m. EDT",69,71,0,-69
HST,"7/31/2020 9 a.m. EDT",74,75,0,-74
HST,"7/31/2020 10 a.m. EDT",80,83,0,-80
HST,"7/31/2020 11 a.m. EDT",88,90,0,-88
HST,"7/31/2020 12 p.m. EDT",95,97,0,-95
HST,"7/31/2020 1 p.m. EDT",100,102,0,-100
HST,"7/31/2020 2 p.m. EDT",104,107,0,-104
HST,"7/31/2020 3 p.m. EDT",107,109,0,-107
HST,"7/31/2020 4 p.m. EDT",109,111,0,-109
HST,"7/31/2020 5 p.m. EDT",109,113,0,-109
HST,"7/31/2020 6 p.m. EDT",108,109,0,-108
HST,"7/31/2020 7 p.m. EDT",107,108,0,-107
HST,"7/31/2020 8 p.m. EDT",104,104,0,-104
HST,"7/31/2020 9 p.m. EDT",103,104,0,-103
HST,"7/31/2020 10 p.m. EDT",100,100,0,-100
HST,"7/31/2020 11 p.m. EDT",95,92,0,-95
HST,"8/1/2020 12 a.m. EDT",79,84,0,-79
