"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/5/2020 8 a.m. EDT",57,66,0,-57
HST,"7/5/2020 9 a.m. EDT",62,74,0,-62
HST,"7/5/2020 10 a.m. EDT",71,83,0,-71
HST,"7/5/2020 11 a.m. EDT",81,92,0,-81
HST,"7/5/2020 12 p.m. EDT",90,98,0,-90
HST,"7/5/2020 1 p.m. EDT",95,103,0,-95
HST,"7/5/2020 2 p.m. EDT",93,107,0,-93
HST,"7/5/2020 3 p.m. EDT",95,112,0,-95
HST,"7/5/2020 4 p.m. EDT",95,114,0,-95
HST,"7/5/2020 5 p.m. EDT",87,116,0,-87
HST,"7/5/2020 6 p.m. EDT",87,116,0,-87
HST,"7/5/2020 7 p.m. EDT",81,114,0,-81
HST,"7/5/2020 8 p.m. EDT",75,111,0,-75
HST,"7/5/2020 9 p.m. EDT",77,106,0,-77
HST,"7/5/2020 10 p.m. EDT",76,101,0,-76
HST,"7/5/2020 11 p.m. EDT",72,96,0,-72
HST,"7/6/2020 12 a.m. EDT",66,90,0,-66
HST,"7/6/2020 1 a.m. EDT",61,62,0,-61
HST,"7/6/2020 2 a.m. EDT",56,59,0,-56
HST,"7/6/2020 3 a.m. EDT",53,57,0,-53
HST,"7/6/2020 4 a.m. EDT",52,56,0,-52
HST,"7/6/2020 5 a.m. EDT",51,56,0,-51
HST,"7/6/2020 6 a.m. EDT",52,57,0,-52
HST,"7/6/2020 7 a.m. EDT",53,58,0,-53
HST,"7/6/2020 8 a.m. EDT",54,61,0,-54
HST,"7/6/2020 9 a.m. EDT",61,66,0,-61
HST,"7/6/2020 10 a.m. EDT",70,77,0,-70
HST,"7/6/2020 11 a.m. EDT",77,89,0,-77
HST,"7/6/2020 12 p.m. EDT",75,98,0,-75
HST,"7/6/2020 1 p.m. EDT",75,104,0,-75
HST,"7/6/2020 2 p.m. EDT",80,110,0,-80
HST,"7/6/2020 3 p.m. EDT",71,114,0,-71
HST,"7/6/2020 4 p.m. EDT",73,117,0,-73
HST,"7/6/2020 5 p.m. EDT",76,116,0,-76
HST,"7/6/2020 6 p.m. EDT",79,118,0,-79
HST,"7/6/2020 7 p.m. EDT",82,118,0,-82
HST,"7/6/2020 8 p.m. EDT",82,116,0,-82
HST,"7/6/2020 9 p.m. EDT",82,112,0,-82
